"lab2","population","treatment","flask","species","day","latbb80","latbb50","latbb1"
"mp.HC.HP.LF.36.corsto.1","mp","HC.HP.LF",36,"corsto",16,NA,20,20
"mp.HC.HP.LF.36.corsto.2","mp","HC.HP.LF",36,"corsto",13,20,20,13
"mp.HC.HP.LF.36.popbal.1","mp","HC.HP.LF",36,"popbal",33,24,24,24
"mp.HC.HP.LF.36.vibedu.1","mp","HC.HP.LF",36,"vibedu",49,52,20,16
"mp.HC.HP.LF.37.acegla.1","mp","HC.HP.LF",37,"acegla",10,NA,58,36
"mp.HC.HP.LF.37.alnvir.1","mp","HC.HP.LF",37,"alnvir",61,61,61,55
"mp.HC.HP.LF.37.loninv.1","mp","HC.HP.LF",37,"loninv",16,NA,34,10
"mp.HC.HP.LF.38.rubpar.1","mp","HC.HP.LF",38,"rubpar",61,NA,27,24
"mp.HC.HP.LF.38.spibet.1","mp","HC.HP.LF",38,"spibet",20,NA,NA,20
"mp.HC.HP.LF.39.alninc.1","mp","HC.HP.LF",39,"alninc",34,36,36,34
"mp.HC.HP.LF.39.amealn.1","mp","HC.HP.LF",39,"amealn",16,36,36,30
"mp.HC.HP.LF.39.vibedu.1","mp","HC.HP.LF",39,"vibedu",20,NA,16,16
"mp.HC.HP.LF.4.samrac.1","mp","HC.HP.LF",4,"samrac",20,49,49,49
"mp.HC.HP.LF.4.spibet.1","mp","HC.HP.LF",4,"spibet",22,NA,20,20
"mp.HC.HP.LF.4.vacmem.1","mp","HC.HP.LF",4,"vacmem",27,NA,NA,20
"mp.HC.HP.LF.40.acegla.1","mp","HC.HP.LF",40,"acegla",24,43,36,36
"mp.HC.HP.LF.40.acegla.2","mp","HC.HP.LF",40,"acegla",24,NA,NA,58
"mp.HC.HP.LF.40.rhoalb.1","mp","HC.HP.LF",40,"rhoalb",20,NA,NA,NA
"mp.HC.HP.LF.40.rhoalb.2","mp","HC.HP.LF",40,"rhoalb",13,43,24,24
"mp.HC.HP.LF.5.acegla.1","mp","HC.HP.LF",5,"acegla",24,39,36,34
"mp.HC.HP.LF.7.alnvir.1","mp","HC.HP.LF",7,"alnvir",46,61,52,42
"mp.HC.HP.LF.7.amealn.1","mp","HC.HP.LF",7,"amealn",10,20,20,10
"mp.HC.HP.LF.7.sorsco.1","mp","HC.HP.LF",7,"sorsco",20,NA,NA,NA
"mp.HC.HP.LF.7.vacmem.1","mp","HC.HP.LF",7,"vacmem",27,NA,NA,20
"mp.HC.HP.LF.8.corsto.1","mp","HC.HP.LF",8,"corsto",10,24,12,12
"mp.HC.HP.LF.8.spibet.1","mp","HC.HP.LF",8,"spibet",12,24,24,12
"mp.HC.HP.LF.8.vibedu.1","mp","HC.HP.LF",8,"vibedu",20,NA,24,12
"mp.HC.HP.LF.9.alnvir.1","mp","HC.HP.LF",9,"alnvir",49,52,49,49
"mp.HC.HP.LF.9.loninv.1","mp","HC.HP.LF",9,"loninv",46,NA,84,76
"mp.HC.LP.HF.1.alninc.1","mp","HC.LP.HF",1,"alninc",23,34,26,23
"mp.HC.LP.HF.1.rhoalb.1","mp","HC.LP.HF",1,"rhoalb",16,NA,NA,23
"mp.HC.LP.HF.1.spibet.1","mp","HC.LP.HF",1,"spibet",13,NA,NA,NA
"mp.HC.LP.HF.10.corsto.1","mp","HC.LP.HF",10,"corsto",13,26,17,13
"mp.HC.LP.HF.10.vacmem.1","mp","HC.LP.HF",10,"vacmem",17,NA,NA,13
"mp.HC.LP.HF.11.popbal.1","mp","HC.LP.HF",11,"popbal",16,NA,23,19
"mp.HC.LP.HF.11.samrac.1","mp","HC.LP.HF",11,"samrac",19,NA,NA,NA
"mp.HC.LP.HF.11.vibedu.1","mp","HC.LP.HF",11,"vibedu",16,NA,13,10
"mp.HC.LP.HF.12.alninc.1","mp","HC.LP.HF",12,"alninc",19,23,19,19
"mp.HC.LP.HF.12.corsto.1","mp","HC.LP.HF",12,"corsto",12,16,12,12
"mp.HC.LP.HF.12.vacmem.1","mp","HC.LP.HF",12,"vacmem",16,NA,NA,12
"mp.HC.LP.HF.12.vibedu.1","mp","HC.LP.HF",12,"vibedu",19,NA,NA,16
"mp.HC.LP.HF.13.rhoalb.1","mp","HC.LP.HF",13,"rhoalb",10,NA,NA,26
"mp.HC.LP.HF.13.samrac.1","mp","HC.LP.HF",13,"samrac",17,NA,NA,17
"mp.HC.LP.HF.13.spibet.1","mp","HC.LP.HF",13,"spibet",10,17,17,17
"mp.HC.LP.HF.13.vacmem.1","mp","HC.LP.HF",13,"vacmem",17,NA,NA,17
"mp.HC.LP.HF.14.loninv.1","mp","HC.LP.HF",14,"loninv",10,NA,NA,13
"mp.HC.LP.HF.14.rhoalb.1","mp","HC.LP.HF",14,"rhoalb",13,NA,NA,17
"mp.HC.LP.HF.15.loninv.1","mp","HC.LP.HF",15,"loninv",10,NA,NA,16
"mp.HC.LP.HF.15.poptre.1","mp","HC.LP.HF",15,"poptre",34,34,34,34
"mp.HC.LP.HF.15.sorsco.1","mp","HC.LP.HF",15,"sorsco",12,NA,NA,NA
"mp.HC.LP.HF.16.alnvir.1","mp","HC.LP.HF",16,"alnvir",23,26,26,26
"mp.HC.LP.HF.16.amealn.1","mp","HC.LP.HF",16,"amealn",7,10,10,10
"mp.HC.LP.HF.16.shecan.1","mp","HC.LP.HF",16,"shecan",28,31,28,17
"mp.HC.LP.HF.17.loninv.1","mp","HC.LP.HF",17,"loninv",9,NA,NA,9
"mp.HC.LP.HF.17.poptre.1","mp","HC.LP.HF",17,"poptre",31,31,31,31
"mp.HC.LP.HF.17.vibedu.1","mp","HC.LP.HF",17,"vibedu",12,16,13,12
"mp.HC.LP.HF.18.loninv.1","mp","HC.LP.HF",18,"loninv",10,10,10,10
