day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.l,percent4.l,
16,mp,LHH,B,31,vacmem,1,80,1,20,0,80,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,31,alninc,3,33,3,1,50,0,50,NA,NA,8,NA,NA,NA,
16,sm,LHH,NA,31,alninc,1,66,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,31,amealn,9,100,1,9,30,3,20,1,20,9,NA,NA,NA,
16,sm,LHH,NA,31,betpap,1,100,1,1,90,0,10,NA,NA,8,NA,NA,NA,
16,sm,LHH,NA,31,loninv,1,100,3,1,60,0,40,NA,NA,14,NA,NA,NA,
16,mp,LHH,NA,32,alninc,3,100,1,1,10,0,90,NA,NA,10,NA,NA,NA,
16,mp,LHH,NA,32,poptre,0,100,1,NA,NA,0,100,NA,NA,2,NA,NA,NA,
16,mp,LHH,NA,32,sorsco,1,100,1,1,35,0,65,NA,NA,3,NA,NA,NA,
16,mp,LHH,A,32,spibet,1,100,3,1,50,0,50,NA,NA,10,NA,NA,NA,
16,mp,LHH,B,32,spibet,1,100,6,3,30,1,20,0,50,51,NA,NA,NA,
16,sm,LHH,NA,32,alnvir,3,100,6,3,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,32,betpap,1,100,2,1,85,0,15,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,32,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
