site,abbrev,asorscoignment,flask
sm,popbal,HC_LP_LF,T8-8
sm,rubpar,HC_LP_LF,T8
sm,vacmem,HC_LP_LF,T8-oct25
sm,acegla,HC_LP_LF,T9--14
sm,loninv,HC_LP_LF,T9--10
sm,menfer,HC_LP_LF,T9--12
sm,popbal,HC_LP_LF,T9--12
sm,amealn,LC_HP_HF,T1-A
sm,loninv,LC_HP_HF,T1-5
sm,popbal,LC_HP_HF,T1-C
Shecan7,,,
sm,riblac,LC_HP_HF,T10-D
sm,rubpar,LC_HP_HF,T10
sm,symalb,LC_HP_HF,T10
sm,symalb,LC_HP_HF,T10
sm,rubpar,LC_HP_HF,T11
sm,sorsco,LC_HP_HF,T11--xx
sm,spipyr,LC_HP_HF,T11
sm,vacmem,LC_HP_HF,T11-oct21
sm,corsto,LC_HP_HF,T12-A
sm,loninv,LC_HP_HF,T12-7
sm,poptre,LC_HP_HF,T12-8
sm,symalb,LC_HP_HF,T12
sm,alnvir,LC_HP_HF,T13-10
sm,corsto,LC_HP_HF,T13-8
sm,rubpar,LC_HP_HF,T13cl
sm,sorsco,LC_HP_HF,T13-11
sm,acegla,LC_HP_HF,T14--10
sm,alninc,LC_HP_HF,T14--4
sm,popbal,LC_HP_HF,T14--3
sm,menfer,LC_HP_HF,T15-3
sm,rubpar,LC_HP_HF,T15
sm,spipyr,LC_HP_HF,T15
Shecan11,,,
sm,alninc,LC_HP_HF,T16--2
