chamber,date_time,temp,day_night,callibration,force
4,2020-01-14 18:08,21.664,day,1.705,high
4,2020-01-14 19:08,16.618,day,1.705,high
4,2020-01-14 20:08,11.625,day,1.705,high
4,2020-01-14 21:08,10.748,transition,1.705,high
4,2020-01-14 22:08,10.553,night,1.705,high
4,2020-01-14 23:08,10.553,night,1.705,high
4,2020-01-15 0:08,10.553,night,1.705,high
4,2020-01-15 1:08,10.455,night,1.705,high
4,2020-01-15 2:08,10.553,night,1.705,high
4,2020-01-15 3:08,10.455,night,1.705,high
4,2020-01-15 4:08,10.455,night,1.705,high
4,2020-01-15 5:08,10.455,night,1.705,high
4,2020-01-15 6:08,10.455,night,1.705,high
4,2020-01-15 7:08,10.455,night,1.705,high
4,2020-01-15 8:08,10.651,night,1.705,high
4,2020-01-15 9:08,14.804,transition,1.705,high
4,2020-01-15 10:08,19.567,day,1.705,high
4,2020-01-15 11:08,20.519,day,1.705,high
