site,flask_id,indiv
mp,spibet_HC_LP_LF_9,tml
mp,spipyr_HC_LP_LF_9,wjt
mp,amealn_LC_HP_HF_1,4
mp,menfer_LC_HP_HF_1,7
mp,poptre_LC_HP_HF_1,5
mp,symalb_LC_HP_HF_1,9
mp,alnvir_LC_HP_HF_10,8
mp,loninv_LC_HP_HF_10,A
mp,menfer_LC_HP_HF_10,10
mp,spipyr_LC_HP_HF_10,2
mp,acegla_LC_HP_HF_11,8
mp,alninc_LC_HP_HF_11,10
mp,amealn_LC_HP_HF_11,2
mp,vacmem_LC_HP_HF_11,wjt
mp,poptre_LC_HP_HF_12,Feg
mp,riblac_LC_HP_HF_12,Bsf
mp,sorsco_LC_HP_HF_12,14
mp,spipyr_LC_HP_HF_12,2
mp,alninc_LC_HP_HF_13,10
mp,loninv_LC_HP_HF_13,8
mp,popbal_LC_HP_HF_13,2
mp,vacmem_LC_HP_HF_13,wjt
mp,rhoalb_LC_HP_HF_14,11
mp,sorsco_LC_HP_HF_14,4
mp,symalb_LC_HP_HF_14,
mp,vibedu_LC_HP_HF_14,
mp,amealn_LC_HP_HF_15,2
mp,menfer_LC_HP_HF_15,10
mp,rhoalb_LC_HP_HF_15,11
mp,samrac_LC_HP_HF_15,7
mp,corsto_LC_HP_HF_16,8
mp,rhoalb_LC_HP_HF_16,3
mp,riblac_LC_HP_HF_16,8
mp,spibet_LC_HP_HF_16,tml
mp,alninc_LC_HP_HF_17,bLL
mp,amealn_LC_HP_HF_17,7
