"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"ACESAC03_SH_03","ACESAC03_SH_03_LC_LP_HF","SH","WS1","LC","HF","LP","ACESAC",57,NA
"ACESAC03_SH_04","ACESAC03_SH_04_chill0_HP_HF","SH","WL0","chill0","HF","HP","ACESAC",6,NA
"ACESAC03_SH_05","ACESAC03_SH_05_chill0_HP_LF","SH","CL0","chill0","LF","HP","ACESAC",32,NA
"ACESAC03_SH_08","ACESAC03_SH_08_HC_HP_HF","SH","WL2","HC","HF","HP","ACESAC",47,NA
"ACESAC03_SH_10","ACESAC03_SH_10_LC_HP_HF","SH","WL1","LC","HF","HP","ACESAC",46,NA
"ACESAC03_SH_12","ACESAC03_SH_12_LC_LP_LF","SH","CS1","LC","LF","LP","ACESAC",56,NA
"ACESAC05_HF_01","ACESAC05_HF_01_chill0_HP_HF","HF","WL0","chill0","HF","HP","ACESAC",47,NA
"ACESAC05_HF_03","ACESAC05_HF_03_LC_HP_LF","HF","CL1","LC","LF","HP","ACESAC",70,NA
"ACESAC05_HF_04","ACESAC05_HF_04_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACESAC",54,NA
"ACESAC05_HF_05","ACESAC05_HF_05_LC_LP_LF","HF","CS1","LC","LF","LP","ACESAC",85,NA
"ACESAC05_HF_07","ACESAC05_HF_07_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACESAC",56,NA
"ACESAC05_HF_08","ACESAC05_HF_08_LC_LP_HF","HF","WS1","LC","HF","LP","ACESAC",83,NA
"ACESAC05_HF_12","ACESAC05_HF_12_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACESAC",75,NA
"ACESAC06_HF_06","ACESAC06_HF_06_HC_HP_LF","HF","CL2","HC","LF","HP","ACESAC",83,NA
"ACESAC06_HF_07","ACESAC06_HF_07_HC_HP_HF","HF","WL2","HC","HF","HP","ACESAC",47,NA
