"","lab","day","population","chill","photo","force","flask","percent4.t","indiv","tbb","nl","latbb80","latbb50","latbb1","treatment"
"147","mp_HC_HP_HF_7_shecan",30,"mp","HC","HP","HF",7,NA,"11",30,1,28,24,16,"HC_HP_HF"
"148","mp_HC_HP_HF_8_acegla",31,"mp","HC","HP","HF",8,50,"3",31,1,NA,34,31,"HC_HP_HF"
"149","mp_HC_HP_HF_8_alninc",9,"mp","HC","HP","HF",8,NA,"9",35,1,16,13,13,"HC_HP_HF"
"150","mp_HC_HP_HF_8_poptre",61,"mp","HC","HP","HF",8,NA,"8",61,1,NA,37,31,"HC_HP_HF"
"151","mp_HC_HP_HF_8_rubpar",80,"mp","HC","HP","HF",8,NA,"sf",80,1,24,19,19,"HC_HP_HF"
"152","mp_HC_HP_HF_9_corsto",81,"mp","HC","HP","HF",9,NA,"2",81,1,10,8,8,"HC_HP_HF"
"153","mp_HC_HP_HF_9_riblac",41,"mp","HC","HP","HF",9,NA,"9",41,1,24,24,19,"HC_HP_HF"
"154","mp_HC_HP_HF_9_rubpar",66,"mp","HC","HP","HF",9,NA,"sf",66,1,24,24,19,"HC_HP_HF"
"155","mp_HC_HP_HF_9_vacmem",53,"mp","HC","HP","HF",9,NA,"wjt",53,1,NA,NA,13,"HC_HP_HF"
"156","mp_HC_HP_LF_1_amealn",12,"mp","HC","HP","LF",1,NA,"6",51,1,22,22,20,"HC_HP_LF"
"157","mp_HC_HP_LF_1_menfer",58,"mp","HC","HP","LF",1,NA,"10",58,1,NA,82,49,"HC_HP_LF"
"158","mp_HC_HP_LF_1_shecan",67,"mp","HC","HP","LF",1,NA,"NA",67,1,27,24,22,"HC_HP_LF"
"159","mp_HC_HP_LF_10_alninc",81,"mp","HC","HP","LF",10,50,"9",81,1,NA,NA,NA,"HC_HP_LF"
"160","mp_HC_HP_LF_10_menfer",26,"mp","HC","HP","LF",10,NA,"10",54,1,49,43,43,"HC_HP_LF"
"161","mp_HC_HP_LF_10_popbal",0,"mp","HC","HP","LF",10,NA,"2",54,1,36,36,36,"HC_HP_LF"
"162","mp_HC_HP_LF_11_amealn",29,"mp","HC","HP","LF",11,40,"8",29,1,20,20,20,"HC_HP_LF"
"163","mp_HC_HP_LF_11_popbal",81,"mp","HC","HP","LF",11,NA,"8",81,1,NA,NA,NA,"HC_HP_LF"
"164","mp_HC_HP_LF_11_shecan",10,"mp","HC","HP","LF",11,NA,"4",24,1,33,30,20,"HC_HP_LF"
"165","mp_HC_HP_LF_11_symalb",64,"mp","HC","HP","LF",11,NA,"ll",64,1,24,20,16,"HC_HP_LF"
"166","mp_HC_HP_LF_12_poptre",81,"mp","HC","HP","LF",12,NA,"g_eg",NA,0,NA,NA,NA,"HC_HP_LF"
"167","mp_HC_HP_LF_12_samrac",24,"mp","HC","HP","LF",12,NA,"2",24,1,NA,NA,NA,"HC_HP_LF"
"168","mp_HC_HP_LF_12_shecan",10,"mp","HC","HP","LF",12,NA,"8",54,1,NA,43,27,"HC_HP_LF"
"169","mp_HC_HP_LF_12_spibet",78,"mp","HC","HP","LF",12,NA,"tml",78,1,NA,24,17,"HC_HP_LF"
"170","mp_HC_HP_LF_13_acegla",12,"mp","HC","HP","LF",13,NA,"3",51,1,NA,NA,NA,"HC_HP_LF"
"171","mp_HC_HP_LF_13_alninc",3,"mp","HC","HP","LF",13,NA,"9",82,1,20,20,16,"HC_HP_LF"
"172","mp_HC_HP_LF_13_rhoalb",6,"mp","HC","HP","LF",13,NA,"1",46,1,NA,NA,27,"HC_HP_LF"
"173","mp_HC_HP_LF_13_symalb",45,"mp","HC","HP","LF",13,NA,"4",45,1,24,24,13,"HC_HP_LF"
"174","mp_HC_HP_LF_14_alninc",32,"mp","HC","HP","LF",14,NA,"NA",32,1,30,30,27,"HC_HP_LF"
"175","mp_HC_HP_LF_14_menfer",46,"mp","HC","HP","LF",14,NA,"10",81,1,NA,NA,52,"HC_HP_LF"
"176","mp_HC_HP_LF_14_spipyr",80,"mp","HC","HP","LF",14,30,"2",80,1,NA,84,23,"HC_HP_LF"
"177","mp_HC_HP_LF_15_menfer",12,"mp","HC","HP","LF",15,NA,"NA",35,1,43,36,33,"HC_HP_LF"
"178","mp_HC_HP_LF_15_popbal",3,"mp","HC","HP","LF",15,NA,"NA",60,1,27,27,27,"HC_HP_LF"
"179","mp_HC_HP_LF_15_spipyr",14,"mp","HC","HP","LF",15,NA,"NA",53,1,NA,NA,33,"HC_HP_LF"
"180","mp_HC_HP_LF_15_symalb",53,"mp","HC","HP","LF",15,NA,"NA",53,1,NA,33,27,"HC_HP_LF"
"181","mp_HC_HP_LF_16_poptre",64,"mp","HC","HP","LF",16,40,"8",64,1,52,52,52,"HC_HP_LF"
"182","mp_HC_HP_LF_16_shecan",14,"mp","HC","HP","LF",16,NA,"6",52,1,39,36,30,"HC_HP_LF"
"183","mp_HC_HP_LF_16_symalb",3,"mp","HC","HP","LF",16,NA,"9",39,1,24,24,20,"HC_HP_LF"
"184","mp_HC_HP_LF_16_vibedu",60,"mp","HC","HP","LF",16,NA,"9",60,1,24,16,13,"HC_HP_LF"
"185","mp_HC_HP_LF_17_corsto",80,"mp","HC","HP","LF",17,NA,"5",80,1,24,16,16,"HC_HP_LF"
"186","mp_HC_HP_LF_17_rhoalb",9,"mp","HC","HP","LF",17,NA,"11",34,1,NA,NA,42,"HC_HP_LF"
"187","mp_HC_HP_LF_17_riblac",29,"mp","HC","HP","LF",17,NA,"c_sf",68,1,NA,82,42,"HC_HP_LF"
"188","mp_HC_HP_LF_17_rubpar",82,"mp","HC","HP","LF",17,NA,"9",82,1,39,39,30,"HC_HP_LF"
"189","mp_HC_HP_LF_18_acegla",73,"mp","HC","HP","LF",18,NA,"3",73,1,NA,76,39,"HC_HP_LF"
"190","mp_HC_HP_LF_18_alninc",31,"mp","HC","HP","LF",18,NA,"9",31,1,20,20,16,"HC_HP_LF"
"191","mp_HC_HP_LF_18_alnvir",29,"mp","HC","HP","LF",18,NA,"6",48,1,46,46,42,"HC_HP_LF"
"192","mp_HC_HP_LF_18_sorsco",47,"mp","HC","HP","LF",18,30,"10",47,1,NA,NA,NA,"HC_HP_LF"
"193","mp_HC_HP_LF_19_poptre",58,"mp","HC","HP","LF",19,80,"g_eg",58,1,NA,70,61,"HC_HP_LF"
"194","mp_HC_HP_LF_19_rubpar",30,"mp","HC","HP","LF",19,NA,"9",30,1,NA,NA,27,"HC_HP_LF"
"195","mp_HC_HP_LF_19_symalb",64,"mp","HC","HP","LF",19,NA,"a_eg",64,1,NA,30,16,"HC_HP_LF"
"196","mp_HC_HP_LF_19_vibedu",15,"mp","HC","HP","LF",19,NA,"2",35,1,NA,NA,16,"HC_HP_LF"
