day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments
116,mp,HC_HP_HF,6,30,popbal,17,50,6,NA,NA,NA,NA,NA,NA,NA,NA,15,50,
116,mp,HC_HP_HF,9,30,sorsco,17,100,1,17,25,10,25,7,25,NA,NA,NA,NA,
116,sm,HC_HP_HF,4,30,alninc,17,100,1,17,15,15,40,9,15,7,NA,NA,NA,remaining buds dead
116,sm,HC_HP_HF,19,30,alnvir,17,25,4,11,20,9,20,7,10,11,NA,11,50,remaining buds dead -catkins
116,sm,HC_HP_HF,11,30,corsto,17,100,2,15,100,NA,NA,NA,NA,5,NA,NA,NA,
116,sm,HC_HP_HF,11,30,vibedu,17,60,5,17,20,15,20,10,20,16,y,9,20,
116,mp,HC_HP_HF,7,31,acegla,15,15,23,15,5,11,10,10,5,36,y,9,20,died
116,mp,HC_HP_HF,2,31,amealn,15,50,2,17,40,11,20,9,15,13,y,7,50,
116,mp,HC_HP_HF,2,31,shecan,17,100,1,15,20,11,60,10,20,NA,y,NA,NA,
116,mp,HC_HP_HF,6,31,shecan,17,60,3,15,80,11,20,,,NA,y,10,40,
